Subject,Body,Phishing 
Important Update: Your Account Security,"Dear customer, We have noticed some suspicious activity on your account. Please click on the following link to verify your identity and secure your account.",1
Your Invoice Payment Confirmation,"Dear [Recipient Name], We are pleased to inform you that your invoice payment has been successfully processed. Attached is the payment confirmation for your reference. If you have any questions or concerns, please do not hesitate to contact us. Thank you for your business. Best regards, [Your Company]",0
Urgent: Account Verification Required,"Dear Customer, Your account is due for verification. Failure to verify your account may result in suspension. Click on the link below to verify your account now. Thank you. Regards, Customer Support",1
Congratulations! You've won a prize!,"Dear recipient, Congratulations! You've been selected as the winner of our latest prize draw. Please provide your personal information to claim your prize. Regards, Prize Draw Team",1
Security Alert: Unusual Login Attempt Detected,"Dear [Recipient Name], We detected an unusual login attempt on your account. If this was not you, please click the link below to secure your account. Regards, Security Team",1
Action Required: Password Reset,"Dear customer, Due to recent security concerns, we require you to reset your password. Please follow the instructions on the link below to reset your password. Regards, Customer Support",1
Confirmation of Appointment,"Dear [Recipient Name], This is to confirm your appointment on [Date] at [Time]. Please let us know if you need to reschedule. Regards, [Your Company]",0
"""Your Amazon Order Confirmation","Dear Customer, Thank you for your order. Your order has been successfully placed. Attached is your order confirmation for your reference. If you have any questions, please contact us. Regards, Amazon Customer Service",0
URGENT: Immediate Action Required!,"Dear account holder, Immediate action is required on your account. Click the link below to resolve the issue. Regards, Account Services",1
Important Update: Policy Changes,"Dear [Recipient Name], We would like to inform you about the recent changes to our policies. Please review the attached document for details. Regards, [Your Company]",0
Click the link for a free prize,YOU WON!!! Click the link below to claim your free new TV! ,1
Happy Birthday from grandma ,happy birthday grandson! I hope you have fun on your special day today we love you lots! ,0